request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_43,15242750.0,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover IDR 43,339,000.00 without breaching minimum safety balance."
request_44,74560.0,affordable_with_plan,installments,2025-02-04:23950|2025-03-06:23950|2025-04-05:23950|2025-05-05:23950,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 4 installments maintains required minimum balance.
request_45,8833100.0,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover IDR 21,983,000.00 without breaching minimum safety balance."
request_46,49450.0,affordable_now,full_payment,2024-12-03:49450,2024-12-03,none,"Full payment of INR 49,450.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Full payment of IDR 38,114,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Full payment of INR 45,700.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_49,20228793.34,affordable_with_plan,installments,2024-03-04:5722166.67|2024-04-03:5722166.67|2024-05-03:5722166.67|2024-06-02:5722166.67|2024-07-02:5722166.67|2024-08-01:5722166.67,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 6 installments maintains required minimum balance.
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Full payment of INR 43,900.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Full payment of IDR 2,191,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_52,28870.0,affordable_now,full_payment,2024-06-05:28870,2024-06-05,none,"Full payment of INR 28,870.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_53,1423.42,affordable_with_plan,installments,2025-11-07:424.8|2025-12-07:424.8|2026-01-06:424.8|2026-02-05:424.8,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 4 installments maintains required minimum balance.
request_54,16581.4,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover ZAR 121,528.00 without breaching minimum safety balance."
request_55,203841.19,affordable_with_plan,installments,2026-06-08:54650|2026-07-08:54650|2026-08-07:54650|2026-09-06:54650,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 4 installments maintains required minimum balance.
request_56,881.56,affordable_now,full_payment,2025-02-03:881.56,2025-02-03,none,Full payment of USD 881.56 is safe today while preserving user's minimum required balance and accounting for pending debits.
request_57,21214.6,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover ZAR 61,446.00 without breaching minimum safety balance."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Full payment of IDR 16,226,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_59,140600.0,affordable_now,full_payment,2025-05-04:140600,2025-05-04,none,"Full payment of INR 140,600.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Full payment of USD 199.89 is safe today while preserving user's minimum required balance and accounting for pending debits.
request_61,29062.0,affordable_now,full_payment,2024-03-03:29062,2024-03-03,none,"Full payment of ZAR 29,062.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Full payment of USD 404.23 is safe today while preserving user's minimum required balance and accounting for pending debits.
request_63,98295.0,affordable_with_plan,installments,2026-07-07:85975|2026-08-06:85975|2026-09-05:85975|2026-10-05:85975,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 4 installments maintains required minimum balance.
request_64,60233.01,affordable_with_plan,installments,2024-06-04:15925|2024-07-04:15925|2024-08-03:15925|2024-09-02:15925,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 4 installments maintains required minimum balance.
request_65,13024.0,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover ZAR 54,340.00 without breaching minimum safety balance."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Full payment of INR 22,200.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_67,792.54,affordable_with_plan,installments,2024-09-05:698|2024-10-05:698|2024-11-04:698,2024-09-15,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 3 installments maintains required minimum balance.
request_68,2091.6,affordable_now,full_payment,2025-02-07:2091.6,2025-02-07,none,"Full payment of USD 2,091.60 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Full payment of EUR 529.10 is safe today while preserving user's minimum required balance and accounting for pending debits.
request_70,93360.0,affordable_with_plan,installments,2024-12-06:30487.5|2025-01-05:30487.5|2025-02-04:30487.5|2025-03-06:30487.5|2025-04-05:30487.5|2025-05-05:30487.5|2025-06-04:30487.5|2025-07-04:30487.5,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 8 installments maintains required minimum balance.
request_71,7485050.0,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover IDR 21,451,000.00 without breaching minimum safety balance."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Full payment of ZAR 11,330.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Full payment of INR 71,400.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Full payment of ZAR 5,010.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_75,28270.0,affordable_now,full_payment,2026-04-06:28270,2026-04-06,none,"Full payment of ZAR 28,270.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_76,1538.8,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover USD 4,455.60 without breaching minimum safety balance."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Full payment of INR 60,700.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_78,50200.0,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,"Full payment of INR 50,200.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_79,1104.08,affordable_with_plan,installments,2024-09-04:1075.8|2024-10-04:1075.8,2024-09-15,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 2 installments maintains required minimum balance.
request_80,158825.0,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover INR 217,500.00 without breaching minimum safety balance."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Full payment of USD 2,076.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_82,1102.4,affordable_with_plan,installments,2024-12-05:351.3|2025-01-04:351.3|2025-02-03:351.3|2025-03-05:351.3,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 4 installments maintains required minimum balance.
request_83,31130.0,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover INR 156,200.00 without breaching minimum safety balance."
request_84,56565.0,affordable_with_plan,installments,2026-04-04:15900|2026-05-04:15900|2026-06-03:15900|2026-07-03:15900|2026-08-02:15900|2026-09-01:15900,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 6 installments maintains required minimum balance.
request_85,2422120.0,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover IDR 19,304,000.00 without breaching minimum safety balance."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Full payment of INR 46,300.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_87,92850.0,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover INR 487,900.00 without breaching minimum safety balance."
request_88,15557.89,affordable_with_plan,installments,2024-06-07:4348.67|2024-07-07:4348.67|2024-08-06:4348.67|2024-09-05:4348.67|2024-10-05:4348.67|2024-11-04:4348.67,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 6 installments maintains required minimum balance.
request_89,13756000.0,affordable_now,full_payment,2025-11-04:13756000,2025-11-04,none,"Full payment of IDR 13,756,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Full payment of ZAR 2,560.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_91,1927.2,affordable_now,full_payment,2024-09-03:1927.2,2024-09-03,none,"Full payment of EUR 1,927.20 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Full payment of ZAR 34,034.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,"Full payment of USD 1,729.20 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Full payment of EUR 572.00 is safe today while preserving user's minimum required balance and accounting for pending debits.
request_95,137865.0,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover INR 553,000.00 without breaching minimum safety balance."
request_96,90200.0,affordable_now,full_payment,2026-01-03:90200,2026-01-03,none,"Full payment of INR 90,200.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_97,8865.89,affordable_with_plan,installments,2024-03-05:7832|2024-04-04:7832|2024-05-04:7832,2024-03-15,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 3 installments maintains required minimum balance.
request_98,17244.7,affordable_with_plan,installments,2025-08-07:5429.6|2025-09-06:5429.6|2025-10-06:5429.6|2025-11-05:5429.6|2025-12-05:5429.6,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 5 installments maintains required minimum balance.
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,"Full payment of ZAR 18,062.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_100,35863.53,affordable_with_plan,installments,2024-06-06:18557|2024-07-06:18557,2024-06-15,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 2 installments maintains required minimum balance.
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Full payment of INR 143,500.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_102,1716.0,affordable_now,full_payment,2026-04-05:1716,2026-04-05,none,"Full payment of EUR 1,716.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_103,43249.0,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover INR 368,300.00 without breaching minimum safety balance."
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Full payment of ZAR 17,204.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,"Full payment of INR 53,500.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_106,1401.7,affordable_with_plan,installments,2024-12-03:441.54|2025-01-02:441.54|2025-02-01:441.54|2025-03-03:441.54|2025-04-02:441.54,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 5 installments maintains required minimum balance.
request_107,2534.4,affordable_now,full_payment,2025-05-05:2534.4,2025-05-05,none,"Full payment of EUR 2,534.40 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_108,7836.4,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover ZAR 55,308.00 without breaching minimum safety balance."
request_109,1276.46,affordable_with_plan,installments,2024-03-04:931.7|2024-04-03:931.7,2024-03-15,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 2 installments maintains required minimum balance.
request_110,22352.0,affordable_now,full_payment,2025-08-06:22352,2025-08-06,none,"Full payment of ZAR 22,352.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Full payment of IDR 16,625,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Full payment of EUR 271.70 is safe today while preserving user's minimum required balance and accounting for pending debits.
request_113,36500.0,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,"Full payment of INR 36,500.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_114,65300.0,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,"Full payment of INR 65,300.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_115,27135.0,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover INR 80,500.00 without breaching minimum safety balance."
request_116,58075.0,affordable_with_plan,installments,2025-02-03:48240|2025-03-05:48240|2025-04-04:48240|2025-05-04:48240|2025-06-03:48240,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 5 installments maintains required minimum balance.
request_117,880.0,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Full payment of EUR 880.00 is safe today while preserving user's minimum required balance and accounting for pending debits.
request_118,738.1,affordable_now,full_payment,2024-12-07:738.1,2024-12-07,none,Full payment of EUR 738.10 is safe today while preserving user's minimum required balance and accounting for pending debits.
request_119,130901.01,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover INR 203,500.00 without breaching minimum safety balance."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Full payment of IDR 7,714,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Full payment of USD 633.60 is safe today while preserving user's minimum required balance and accounting for pending debits.
request_122,20558000.0,affordable_now,full_payment,2025-08-05:20558000,2025-08-05,none,"Full payment of IDR 20,558,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Full payment of IDR 4,076,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_124,2049.56,affordable_with_plan,installments,2024-06-04:1552.1|2024-07-04:1552.1,2024-06-15,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 2 installments maintains required minimum balance.
request_125,6468.0,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,"Full payment of ZAR 6,468.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Full payment of INR 159,600.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_127,23980.0,affordable_now,full_payment,2024-09-05:23980,2024-09-05,none,"Full payment of ZAR 23,980.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Full payment of ZAR 25,168.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_129,288.0,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover USD 2,668.80 without breaching minimum safety balance."
request_130,917.46,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover USD 1,978.80 without breaching minimum safety balance."
request_131,1855.2,affordable_now,full_payment,2025-05-03:1855.2,2025-05-03,none,"Full payment of USD 1,855.20 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,Full payment of USD 379.86 is safe today while preserving user's minimum required balance and accounting for pending debits.
request_133,15770000.0,affordable_now,full_payment,2024-03-07:15770000,2024-03-07,none,"Full payment of IDR 15,770,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_134,12118200.0,affordable_with_plan,installments,2025-08-04:10915500|2025-09-03:10915500,2025-08-15,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 2 installments maintains required minimum balance.
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Full payment of USD 304.80 is safe today while preserving user's minimum required balance and accounting for pending debits.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,Full payment of USD 560.40 is safe today while preserving user's minimum required balance and accounting for pending debits.
request_137,67960.0,affordable_with_plan,installments,2025-11-05:20025|2025-12-05:20025|2026-01-04:20025|2026-02-03:20025,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 4 installments maintains required minimum balance.
request_138,1256.94,affordable_now,full_payment,2026-04-07:1256.94,2026-04-07,none,"Full payment of EUR 1,256.94 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_139,2316.0,affordable_now,full_payment,2024-09-04:2316,2024-09-04,none,"Full payment of USD 2,316.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_140,13079.0,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover ZAR 62,832.00 without breaching minimum safety balance."
request_141,55245.0,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover INR 171,600.00 without breaching minimum safety balance."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,"Full payment of USD 1,263.60 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_143,8811.0,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover ZAR 12,584.00 without breaching minimum safety balance."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Full payment of USD 233.34 is safe today while preserving user's minimum required balance and accounting for pending debits.
request_145,105613.66,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover INR 217,400.00 without breaching minimum safety balance."
request_146,81465.0,affordable_with_plan,installments,2025-08-03:74900|2025-09-02:74900|2025-10-02:74900|2025-11-01:74900|2025-12-01:74900|2025-12-31:74900,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 6 installments maintains required minimum balance.
request_147,741.53,affordable_with_plan,installments,2026-04-05:225.94|2026-05-05:225.94|2026-06-04:225.94|2026-07-04:225.94|2026-08-03:225.94,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 5 installments maintains required minimum balance.
request_148,13181.08,affordable_with_plan,installments,2024-06-07:3707|2024-07-07:3707|2024-08-06:3707|2024-09-05:3707|2024-10-05:3707|2024-11-04:3707,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 6 installments maintains required minimum balance.
request_149,36652.0,affordable_now,full_payment,2025-11-04:36652,2025-11-04,none,"Full payment of ZAR 36,652.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_150,496.1,affordable_now,full_payment,2026-01-06:496.1,2026-01-06,none,Full payment of EUR 496.10 is safe today while preserving user's minimum required balance and accounting for pending debits.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Full payment of IDR 26,999,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_152,13882.0,affordable_now,full_payment,2025-02-05:13882,2025-02-05,none,"Full payment of ZAR 13,882.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_153,503.6,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover USD 2,830.80 without breaching minimum safety balance."
request_154,1625.8,affordable_now,full_payment,2024-12-04:1625.8,2024-12-04,none,"Full payment of EUR 1,625.80 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Full payment of INR 112,500.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_156,15205.3,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover ZAR 43,076.00 without breaching minimum safety balance."
request_157,10091850.0,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover IDR 23,503,000.00 without breaching minimum safety balance."
request_158,242600.0,affordable_now,full_payment,2025-08-07:242600,2025-08-07,none,"Full payment of INR 242,600.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Full payment of ZAR 13,398.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_160,944.61,affordable_with_plan,installments,2024-06-06:311.57|2024-07-06:311.57|2024-08-05:311.57|2024-09-04:311.57,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 4 installments maintains required minimum balance.
request_161,18297950.0,affordable_with_plan,installments,2025-11-03:5301000|2025-12-03:5301000|2026-01-02:5301000|2026-02-01:5301000,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 4 installments maintains required minimum balance.
request_162,10446200.0,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover IDR 83,923,000.00 without breaching minimum safety balance."
request_163,19304000.0,affordable_now,full_payment,2024-09-07:19304000,2024-09-07,none,"Full payment of IDR 19,304,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_164,27018000.0,affordable_now,full_payment,2025-02-04:27018000,2025-02-04,none,"Full payment of IDR 27,018,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Full payment of INR 80,600.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_166,2907.6,affordable_now,full_payment,2024-12-03:2907.6,2024-12-03,none,"Full payment of USD 2,907.60 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Full payment of ZAR 43,802.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_168,49380.0,affordable_now,full_payment,2026-01-07:49380,2026-01-07,none,"Full payment of INR 49,380.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Full payment of ZAR 41,976.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_170,36936000.0,affordable_now,full_payment,2025-08-06:36936000,2025-08-06,none,"Full payment of IDR 36,936,000.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_171,310.65,not_affordable,not_recommended,none,N/A,none,"Insufficient projected net cash flow over 90-day horizon to safely cover EUR 1,878.80 without breaching minimum safety balance."
request_172,10200.0,affordable_now,full_payment,2024-06-05:10200,2024-06-05,none,"Full payment of ZAR 10,200.00 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_173,83190.53,affordable_with_plan,installments,2025-11-07:22600|2025-12-07:22600|2026-01-06:22600|2026-02-05:22600|2026-03-07:22600,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 5 installments maintains required minimum balance.
request_174,1146.2,affordable_now,full_payment,2026-04-04:1146.2,2026-04-04,none,"Full payment of EUR 1,146.20 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,"Full payment of EUR 2,346.30 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_176,686.95,affordable_with_plan,installments,2025-02-03:206.62|2025-03-05:206.62|2025-04-04:206.62|2025-05-04:206.62|2025-06-03:206.62|2025-07-03:206.62,N/A,none,Lump sum upfront payment reduces projected balance below safety limits. Splitting into 6 installments maintains required minimum balance.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,"Full payment of USD 1,017.60 is safe today while preserving user's minimum required balance and accounting for pending debits."
request_178,2938.1,affordable_now,full_payment,2024-12-07:2938.1,2024-12-07,none,"Full payment of EUR 2,938.10 is safe today while preserving user's minimum required balance and accounting for pending debits."
